data;n°;sesso;lt carapace (mm);peso tot (g);peso addome;peso epato;Hiw;TwB;SA;muta;maturità gonadi;peso gonadi;;;;;;;;;;;;;;;;;;;
21/11/2018;112;M;50.58;24.2;6.4;1.8;7.44;26.45;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;113;M;45.73;23.2;4.4;0.8;3.45;18.97;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;114;M;51.67;30;5.9;1.6;5.33;19.67;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;115;M;40.64;11;2.8;0.8;7.27;25.45;NO;SI;;;;;;;;;;;;;;;;;;;;;
21/11/2018;116;M;55.43;40.4;7.4;3.2;7.92;18.32;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;117;M;46.93;20.7;5.1;1.2;5.80;24.64;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;118;M;39.7;14.1;3.4;0.8;5.67;24.11;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;119;M;46.88;20.3;4.8;0.9;4.43;23.65;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;120;M;51.18;31.4;5.9;1.30;4.14;18.79;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;121;M;47.51;25.7;5.5;1.8;7.00;21.40;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;122;M;43.35;16;4.1;1.3;8.13;25.63;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;123;M;58.1;41.4;7;3;7.25;16.91;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;124;M;59.4;46.9;9.5;2.3;4.90;20.26;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;125;M;55.64;40.5;7.2;1.8;4.44;17.78;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;126;M;56.4;40.8;7.2;2.8;6.86;17.65;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;127;M;55.52;36.5;7.1;2.6;7.12;19.45;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;128;M;51.2;30.3;5.7;1.7;5.61;18.81;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;129;M;59.08;48.7;8.7;3.1;6.37;17.86;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;130;M;45.65;16.3;4.4;1.1;6.75;26.99;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;131;M;61.21;47.3;10.1;2;4.23;21.35;SI;NO;;;;;;;;;;;;;;;;;;;;;
21/11/2018;1;F;52.29;29.1;8.2;1.3;4.47;28.18;;NO;DEGENERATE;;;;;;;;;;;;;;;;;;;;
21/11/2018;2;F;47.81;21.5;5.6;1.9;8.84;26.05;;NO;IN VIA DI MATURAZIONE;;;;;;;;;;;;;;;;;;;;
21/11/2018;3;F;53.78;30.4;7.6;5.9;19.41;25.00;;NO;IN VIA DI MATURAZIONE;;;;;;;;;;;;;;;;;;;;
21/11/2018;4;F;52.12;25.5;7.2;1.7;6.67;28.24;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;5;F;50;23.6;6.4;1.9;8.05;27.12;;NO;MATURE;1;;;;;;;;;;;;;;;;;;;
21/11/2018;6;F;44.67;15.7;4.7;1;6.37;29.94;;NO;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;7;F;35.6;8.7;2.7;0.8;9.20;31.03;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;8;F;37.95;10.4;3.4;0.8;7.69;32.69;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;9;F;36.36;9.7;2.9;1;10.31;29.90;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;10;F;45.55;17.9;5.1;0.8;4.47;28.49;;NO;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;11;F;41.95;10.7;3.9;1.2;11.21;36.45;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;12;F;59.86;41.4;10.4;2.5;6.04;25.12;;NO;MATURE;0.4;;;;;;;;;;;;;;;;;;;
21/11/2018;13;F;55.33;33.3;8.4;1.6;4.80;25.23;;NO;IN VIA DI MATURAZIONE;;;;;;;;;;;;;;;;;;;;
21/11/2018;14;F;42.04;13.6;3.5;0.4;2.94;25.74;;NO;MATURE;1.5;;;;;;;;;;;;;;;;;;;
21/11/2018;15;F;41.26;14.1;3.8;0.6;4.26;26.95;;NO;MATURE;1.9;;;;;;;;;;;;;;;;;;;
21/11/2018;16;F;41.55;12.1;3.6;1;8.26;29.75;;NO;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;17;F;40.19;10.9;3.4;0.9;8.26;31.19;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;18;F;36.92;11;3.2;1;9.09;29.09;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;19;F;58.48;34.9;9.4;2.7;7.74;26.93;;NO;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;20;F;50.77;21.5;5.9;2.2;10.23;27.44;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;21;F;42.07;14.7;4.5;1;6.80;30.61;;NO;UOVA PLEOPODALI;;;;;;;;;;;;;;;;;;;;
21/11/2018;22;F;48.56;22.4;5.3;0.8;3.57;23.66;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;23;F;48.05;21.2;5.2;1.5;7.08;24.53;;NO;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;24;F;44.26;14.7;4.3;1.4;9.52;29.25;;NO;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;25;F;44.58;16.1;4.6;0.9;5.59;28.57;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;26;F;38.28;10.1;2.9;1;9.90;28.71;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;27;F;51.89;24.7;4.3;1.4;5.67;17.41;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;28;F;49.37;25.1;6.2;1.8;7.17;24.70;;NO;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;29;F;41.91;13.8;4;1.2;8.70;28.99;;NO;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;30;F;50.83;27.1;6.9;2.3;8.49;25.46;;NO;MATURE;0.4;;;;;;;;;;;;;;;;;;;
21/11/2018;31;F;48.31;22.9;5.7;1.4;6.11;24.89;;NO;MATURE;1.5;;;;;;;;;;;;;;;;;;;
21/11/2018;32;F;49.4;26.3;6.6;2.2;8.37;25.10;;NO;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;33;F;39.91;11.8;4;0.7;5.93;33.90;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;34;F;45.73;21.6;5.6;1.5;6.94;25.93;;NO;MATURE;0.9;;;;;;;;;;;;;;;;;;;
21/11/2018;35;F;44.55;19.4;5.1;1.3;6.70;26.29;;NO;MATURE;1;;;;;;;;;;;;;;;;;;;
21/11/2018;36;F;52.03;29.2;6.8;2.6;8.90;23.29;;NO;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;37;F;40.41;12.4;3.6;0.7;5.65;29.03;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;38;F;33.72;7.1;2.3;0.6;8.45;32.39;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;39;F;41.62;13.1;3.8;1;7.63;29.01;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;40;F;53.95;31.3;7.5;0.9;2.88;23.96;;NO;MATURE;3.5;;;;;;;;;;;;;;;;;;;
21/11/2018;41;F;44.72;18.6;4.5;1.2;6.45;24.19;;NO;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;42;F;39.94;10.9;3.4;1.2;11.01;31.19;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;43;F;38.66;10.3;3;0.5;4.85;29.13;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;44;F;34.62;7.6;2.3;0.5;6.58;30.26;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;45;F;41.26;14.2;4.2;1;7.04;29.58;;NO;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;46;F;36.58;7.9;2.4;0.6;7.59;30.38;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;47;F;35.94;9;2.8;0.7;7.78;31.11;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;48;F;37.3;9.6;2.8;0.4;4.17;29.17;;NO;MATURE;0.6;;;;;;;;;;;;;;;;;;;
21/11/2018;49;F;38.47;10.8;3.2;1;9.26;29.63;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;50;F;37.01;9.1;3.1;0.5;5.49;34.07;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;51;F;36.26;8.2;2.6;0.6;7.32;31.71;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;52;F;43.21;13.2;3.9;1;7.58;29.55;;NO;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;53;F;41.64;12.8;4;1.1;8.59;31.25;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;54;F;37.3;9.1;2.9;0.9;9.89;31.87;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;55;F;38.03;10.1;3.2;1;9.90;31.68;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;56;F;42.43;11.9;3.5;1.5;12.61;29.41;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;57;F;40.87;12.6;4.1;1;7.94;32.54;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;58;F;38.45;10.3;3.1;0.7;6.80;30.10;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
21/11/2018;59;F;43.93;13.8;4.5;0.8;5.80;32.61;;SI;IMMATURE;;;;;;;;;;;;;;;;;;;;
