date,max,min,avg
1/1/2018,-0.76,-0.84,-0.8
2/1/2018,-0.77,-0.84,-0.81
3/1/2018,-0.77,-0.83,-0.8
4/1/2018,-0.79,-0.82,-0.81
5/1/2018,-0.77,-0.83,-0.8
6/1/2018,-0.79,-0.82,-0.81
7/1/2018,-0.79,-0.83,-0.81
8/1/2018,-0.79,-0.83,-0.81
9/1/2018,-0.75,-0.86,-0.81
10/1/2018,-0.78,-0.82,-0.8
11/1/2018,-0.78,-0.82,-0.8
12/1/2018,-0.77,-0.82,-0.8
13/1/2018,-0.77,-0.83,-0.8
14/1/2018,-0.78,-0.81,-0.8
15/1/2018,-0.78,-0.81,-0.8
16/1/2018,-0.77,-0.82,-0.8
17/1/2018,-0.61,-0.92,-0.77
18/1/2018,-0.77,-0.84,-0.81
19/1/2018,-0.77,-0.81,-0.79
20/1/2018,-0.78,-0.82,-0.8
21/1/2018,-0.76,-0.83,-0.8
22/1/2018,-0.78,-0.82,-0.8
23/1/2018,-0.77,-0.82,-0.8
24/1/2018,-0.79,-0.82,-0.81
25/1/2018,-0.79,-0.82,-0.81
26/1/2018,-0.78,-0.81,-0.8
27/1/2018,-0.79,-0.82,-0.81
28/1/2018,-0.79,-0.82,-0.81
29/1/2018,-0.79,-0.82,-0.81
30/1/2018,-0.79,-0.82,-0.81
31/1/2018,-0.78,-0.83,-0.81
1/2/2018,-0.74,-0.85,-0.8
2/2/2018,-0.72,-0.84,-0.78
3/2/2018,-0.62,-0.88,-0.75
4/2/2018,-0.71,-0.76,-0.74
5/2/2018,-0.72,-0.75,-0.74
6/2/2018,-0.69,-0.76,-0.73
7/2/2018,-0.67,-0.78,-0.73
8/2/2018,-0.69,-0.74,-0.72
9/2/2018,-0.71,-0.73,-0.72
10/2/2018,-0.7,-0.74,-0.72
11/2/2018,-0.7,-0.75,-0.73
12/2/2018,-0.69,-0.75,-0.72
13/2/2018,-0.7,-0.75,-0.73
14/2/2018,-0.68,-0.76,-0.72
15/2/2018,-0.7,-0.75,-0.73
16/2/2018,-0.71,-0.74,-0.73
17/2/2018,-0.7,-0.74,-0.72
18/2/2018,-0.69,-0.74,-0.72
19/2/2018,-0.69,-0.73,-0.71
20/2/2018,-0.7,-0.73,-0.72
21/2/2018,-0.69,-0.75,-0.72
22/2/2018,-0.7,-0.75,-0.73
23/2/2018,-0.66,-0.73,-0.7
24/2/2018,-0.67,-0.76,-0.72
25/2/2018,-0.68,-0.73,-0.71
26/2/2018,-0.66,-0.76,-0.71
27/2/2018,-0.69,-0.74,-0.72
28/2/2018,-0.69,-0.73,-0.71
1/3/2018,-0.67,-0.73,-0.7
2/3/2018,-0.63,-0.76,-0.7
3/3/2018,-0.64,-0.72,-0.68
4/3/2018,-0.65,-0.68,-0.67
5/3/2018,-0.64,-0.68,-0.66
6/3/2018,-0.61,-0.65,-0.63
7/3/2018,-0.58,-0.66,-0.62
8/3/2018,-0.57,-0.65,-0.61
9/3/2018,-0.59,-0.62,-0.61
10/3/2018,-0.59,-0.61,-0.6
11/3/2018,-0.48,-0.66,-0.57
12/3/2018,-0.5,-0.62,-0.56
13/3/2018,-0.51,-0.58,-0.55
14/3/2018,-0.53,-0.57,-0.55
15/3/2018,-0.52,-0.58,-0.55
16/3/2018,-0.48,-0.59,-0.54
17/3/2018,-0.48,-0.57,-0.53
18/3/2018,-0.49,-0.6,-0.55
19/3/2018,-0.47,-0.53,-0.5
20/3/2018,-0.46,-0.54,-0.5
21/3/2018,-0.45,-0.51,-0.48
22/3/2018,-0.44,-0.51,-0.48
23/3/2018,-0.42,-0.5,-0.46
24/3/2018,-0.46,-0.49,-0.48
25/3/2018,-0.45,-0.51,-0.48
26/3/2018,-0.46,-0.5,-0.48
27/3/2018,-0.42,-0.5,-0.46
28/3/2018,-0.45,-0.5,-0.48
